Expr Log Ratio,ID,Symbol,Entrez Gene Name,Location
0,0610005C13Rik,0610005C13Rik,RIKEN cDNA 0610005C13 gene,Other
1.274,0610009B22Rik,0610009B22Rik,RIKEN cDNA 0610009B22 gene,Nucleus
0,0610009L18Rik,0610009L18Rik,RIKEN cDNA 0610009L18 gene,Other
0,0610031O16Rik,0610031O16Rik,RIKEN cDNA 0610031O16 gene,Other
0.689,0610038B21Rik,0610038B21Rik,RIKEN cDNA 0610038B21 gene,Other
0,0610039H22Rik,0610039H22Rik,RIKEN cDNA 0610039H22 gene,Other
-∞,0610039K10Rik,0610039K10Rik,RIKEN cDNA 0610039K10 gene,Other
0,0610040B10Rik,0610040B10Rik,RIKEN cDNA 0610040B10 gene,Other
0,0610040F04Rik,0610040F04Rik,RIKEN cDNA 0610040F04 gene,Other
0,0610043K17Rik,0610043K17Rik,RIKEN cDNA 0610043K17 gene,Other
0,1010001N08Rik,1010001N08Rik,RIKEN cDNA 1010001N08 gene,Other
-0.489,1110002L01Rik,1110002L01Rik,RIKEN cDNA 1110002L01 gene,Other
1.274,1110006O24Rik,1110006O24Rik,RIKEN cDNA 1110006O24 gene,Other
0,1110015O18Rik,1110015O18Rik,RIKEN cDNA 1110015O18 gene,Other
1.274,1110019D14Rik,1110019D14Rik,RIKEN cDNA 1110019D14 gene,Other
-∞,1110020A21Rik,1110020A21Rik,RIKEN cDNA 1110020A21 gene,Other
0,1110025L11Rik,1110025L11Rik,RIKEN cDNA 1110025L11 gene,Other
0,1110028F11Rik,1110028F11Rik,RIKEN cDNA 1110028F11 gene,Other
0,1110028F18Rik,1110028F18Rik,RIKEN cDNA 1110028F18 gene,Other
0,1110036E04Rik,1110036E04Rik,RIKEN cDNA 1110036E04 gene,Other
-0.267,1110038B12Rik,1110038B12Rik,RIKEN cDNA 1110038B12 gene,Other
0,1110046J04Rik,1110046J04Rik,RIKEN cDNA 1110046J04 gene,Other
0,1110058D11Rik,1110058D11Rik,RIKEN cDNA 1110058D11 gene,Other
0,1110065P20Rik,1110065P20Rik,RIKEN cDNA 1110065P20 gene,Other
0,1190003K10Rik,1190003K10Rik,RIKEN cDNA 1190003K10 gene,Other
2.861,1300002E11Rik,1300002E11Rik,RIKEN cDNA 1300002E11 gene,Other
0,1300017J02Rik,1300017J02Rik,RIKEN cDNA 1300017J02 gene,Extracellular Space
0,1500004A13Rik,1500004A13Rik,RIKEN cDNA 1500004A13 gene,Other
0.274,1500009L16Rik,1500009L16Rik,RIKEN cDNA 1500009L16 gene,Other
∞,1500011B03Rik,1500011B03Rik,RIKEN cDNA 1500011B03 gene,Other
-∞,1500011K16Rik,1500011K16Rik,RIKEN cDNA 1500011K16 gene,Other
0,1500012K07Rik,1500012K07Rik,RIKEN cDNA 1500012K07 gene,Other
-∞,1500015A07Rik,1500015A07Rik,RIKEN cDNA 1500015A07 gene,Other
0,1500015L24Rik,1500015L24Rik,RIKEN cDNA 1500015L24 gene,Other
0.274,1500017E21Rik,1500017E21Rik,RIKEN cDNA 1500017E21 gene,Other
0,1500026H17Rik,1500026H17Rik,RIKEN cDNA 1500026H17 gene,Other
0,1600002D24Rik,1600002D24Rik,RIKEN cDNA 1600002D24 gene,Other
0,1600010M07Rik,1600010M07Rik,RIKEN cDNA 1600010M07 gene,Other
0,1600014C23Rik,1600014C23Rik,RIKEN cDNA 1600014C23 gene,Other
0,1600015I10Rik,1600015I10Rik,RIKEN cDNA 1600015I10 gene,Other
0,1600019K03Rik,1600019K03Rik,RIKEN cDNA 1600019K03 gene,Other
0,1600020E01Rik,1600020E01Rik,RIKEN cDNA 1600020E01 gene,Other
0,1600023N17Rik,1600023N17Rik,RIKEN cDNA 1600023N17 gene,Other
0,1600025M17Rik,1600025M17Rik,RIKEN cDNA 1600025M17 gene,Other
0,1600027J07Rik,1600027J07Rik,RIKEN cDNA 1600027J07 gene,Other
0,1600029I14Rik,1600029I14Rik,RIKEN cDNA 1600029I14 gene,Other
0,1600029O15Rik,1600029O15Rik,ribosomal protein L17 pseudogene,Other
0,1700001C19Rik,1700001C19Rik,RIKEN cDNA 1700001C19 gene,Other
0,1700001D01Rik,1700001D01Rik,RIKEN cDNA 1700001D01 gene,Other
0,1700001F09Rik,1700001F09Rik (includes others),predicted gene 5800,Other
0,BC061237,1700001F09Rik (includes others),predicted gene 5800,Other
0,Gm10375,1700001F09Rik (includes others),predicted gene 5800,Other
0,Gm10377,1700001F09Rik (includes others),predicted gene 5800,Other
0,Gm5800,1700001F09Rik (includes others),predicted gene 5800,Other
0,1700001G01Rik,1700001G01Rik,RIKEN cDNA 1700001G01 gene,Other
0,1700001G11Rik,1700001G11Rik,RIKEN cDNA 1700001G11 gene,Other
0,1700001G17Rik,1700001G17Rik,RIKEN cDNA 1700001G17 gene,Other
0,1700001J03Rik,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,1700018F24Rik,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,1700123K08Rik,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,4930449I24Rik,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,4933421I07Rik,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,Gm3404,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,Gm3409,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,Gm3415,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,Gm4871,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,Gm6370,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,Gm6408,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other
0,1700001J11Rik,1700001J11Rik,ring finger protein 19A pseudogene,Other
0,1700001K19Rik,1700001K19Rik,RIKEN cDNA 1700001K19 gene,Other
0,1700001K23Rik,1700001K23Rik,RIKEN cDNA 1700001K23 gene,Other
0,1700001L05Rik,1700001L05Rik,RIKEN cDNA 1700001L05 gene,Other
0,1700003C15Rik,1700003C15Rik,RIKEN cDNA 1700003C15 gene,Other
0,1700003D09Rik,1700003D09Rik,RIKEN cDNA 1700003D09 gene,Other
0,1700003E24Rik,1700003E24Rik/1700019M22Rik,NFX-like protein,Other
0,1700019M22Rik,1700003E24Rik/1700019M22Rik,NFX-like protein,Other
0,1700003F12Rik,1700003F12Rik,RIKEN cDNA 1700003F12 gene,Other
0,1700003G13Rik,1700003G13Rik,RIKEN cDNA 1700003G13 gene,Other
0,1700003G18Rik,1700003G18Rik,RIKEN cDNA 1700003G18 gene,Other
0,1700003H04Rik,1700003H04Rik,RIKEN cDNA 1700003H04 gene,Other
